code_module,code_presentation,id_student,gender,age-band,imd-band,high-education,region,prev-attempts,studied-credits,disability,avg-score,final-result,withdrawl
AAA,2013J,11391,M,55<=,90-100%,HE Qualification,East Anglian Region,0,240,N,82,Pass,0
AAA,2013J,28400,F,35-55,20-30%,HE Qualification,Scotland,0,60,N,66.4,Pass,0
AAA,2013J,30268,F,35-55,30-40%,A Level or Equivalent,North Western Region,0,60,Y,0,Withdrawn,1
AAA,2013J,31604,F,35-55,50-60%,A Level or Equivalent,South East Region,0,60,N,76,Pass,0
AAA,2013J,32885,F,0-35,50-60%,Lower Than A Level,West Midlands Region,0,60,N,54.4,Pass,0
AAA,2013J,38053,M,35-55,80-90%,A Level or Equivalent,Wales,0,60,N,68,Pass,0
AAA,2013J,45462,M,0-35,30-40%,HE Qualification,Scotland,0,60,N,68,Pass,0
AAA,2013J,45642,F,0-35,90-100%,A Level or Equivalent,North Western Region,0,120,N,72.4,Pass,0
AAA,2013J,52130,F,0-35,70-80%,A Level or Equivalent,East Anglian Region,0,90,N,71.4,Pass,0
AAA,2013J,53025,M,55<=,,Post Graduate Qualification,North Region,0,60,N,78,Pass,0
AAA,2013J,57506,M,35-55,70-80%,Lower Than A Level,South Region,0,60,N,74,Pass,0
AAA,2013J,58873,F,0-35,20-30%,A Level or Equivalent,East Anglian Region,0,60,N,73.2,Pass,0
AAA,2013J,59185,M,35-55,60-70%,Lower Than A Level,East Anglian Region,0,60,N,78.6,Pass,0
AAA,2013J,62155,F,0-35,50-60%,HE Qualification,North Western Region,0,60,N,76,Pass,0
AAA,2013J,63400,M,35-55,40-50%,Lower Than A Level,Scotland,0,60,N,71.6,Pass,0
AAA,2013J,65002,F,0-35,70-80%,A Level or Equivalent,East Anglian Region,0,60,N,67,Withdrawn,1
AAA,2013J,70464,F,35-55,60-70%,A Level or Equivalent,West Midlands Region,0,60,N,55.6,Pass,0
AAA,2013J,71361,M,35-55,,HE Qualification,Ireland,0,60,N,80.4,Pass,0
AAA,2013J,74372,M,35-55,10-20,A Level or Equivalent,East Anglian Region,0,150,N,48.5,Fail,0
AAA,2013J,75091,M,35-55,30-40%,A Level or Equivalent,South West Region,0,60,N,66,Pass,0
AAA,2013J,77367,M,0-35,30-40%,A Level or Equivalent,East Midlands Region,0,60,N,70.4,Pass,0
AAA,2013J,91265,M,0-35,0-10%,HE Qualification,North Western Region,0,60,N,70.8,Pass,0
AAA,2013J,94961,M,35-55,70-80%,Lower Than A Level,South Region,0,60,N,65.33333333,Withdrawn,1
AAA,2013J,98094,M,35-55,70-80%,Lower Than A Level,Wales,0,60,N,60.6,Pass,0
AAA,2013J,100893,M,0-35,20-30%,A Level or Equivalent,Yorkshire Region,0,60,N,68.4,Pass,0
AAA,2013J,101781,M,35-55,80-90%,Lower Than A Level,South Region,0,60,N,72.6,Pass,0
AAA,2013J,102806,M,0-35,30-40%,A Level or Equivalent,North Western Region,0,60,N,78,Pass,0
AAA,2013J,102952,M,0-35,60-70%,HE Qualification,London Region,0,60,N,76.6,Pass,0
AAA,2013J,104476,M,35-55,,Post Graduate Qualification,Ireland,0,60,N,79.6,Pass,0
AAA,2013J,106247,M,35-55,80-90%,HE Qualification,South Region,0,60,N,60,Withdrawn,1
AAA,2013J,106577,M,0-35,20-30%,Lower Than A Level,East Midlands Region,0,60,N,53.4,Pass,0
AAA,2013J,110175,M,35-55,80-90%,HE Qualification,East Anglian Region,0,60,N,63.4,Pass,0
AAA,2013J,111717,F,35-55,90-100%,HE Qualification,East Anglian Region,0,60,N,81,Pass,0
AAA,2013J,113295,M,35-55,60-70%,Lower Than A Level,Yorkshire Region,0,60,N,77.6,Pass,0
AAA,2013J,114017,F,35-55,,Post Graduate Qualification,North Region,0,60,N,71.8,Pass,0
AAA,2013J,114999,M,35-55,60-70%,HE Qualification,Yorkshire Region,0,60,N,72.8,Pass,0
AAA,2013J,116541,M,0-35,0-10%,HE Qualification,Wales,0,60,N,62.4,Pass,0
AAA,2013J,116692,M,35-55,70-80%,A Level or Equivalent,East Anglian Region,0,60,N,74.2,Pass,0
AAA,2013J,118983,M,0-35,30-40%,HE Qualification,East Midlands Region,0,120,N,61.8,Pass,0
AAA,2013J,123044,M,35-55,40-50%,A Level or Equivalent,South Region,0,60,N,71.4,Pass,0
AAA,2013J,127582,F,0-35,40-50%,A Level or Equivalent,East Midlands Region,0,180,N,69.6,Pass,0
AAA,2013J,129955,M,0-35,50-60%,A Level or Equivalent,West Midlands Region,0,60,N,81,Withdrawn,1
AAA,2013J,132976,F,35-55,80-90%,Lower Than A Level,East Anglian Region,0,120,N,67.4,Pass,0
AAA,2013J,134143,F,35-55,90-100%,A Level or Equivalent,South East Region,0,60,N,84.4,Distinction,0
AAA,2013J,135335,F,0-35,20-30%,Lower Than A Level,East Anglian Region,0,180,N,0,Withdrawn,1
AAA,2013J,135400,F,35-55,90-100%,Lower Than A Level,South East Region,0,60,Y,53.14285714,Withdrawn,1
AAA,2013J,137873,M,35-55,40-50%,A Level or Equivalent,South West Region,0,60,N,80.2,Pass,0
AAA,2013J,141355,F,0-35,30-40%,A Level or Equivalent,East Midlands Region,0,240,N,72.6,Pass,0
AAA,2013J,141377,M,0-35,90-100%,A Level or Equivalent,South West Region,0,345,N,48.83333333,Withdrawn,1
AAA,2013J,142326,F,35-55,50-60%,A Level or Equivalent,North Region,0,60,N,73.6,Pass,0
AAA,2013J,144801,F,35-55,80-90%,HE Qualification,South Region,0,60,N,68.8,Pass,0
AAA,2013J,145130,M,0-35,60-70%,HE Qualification,South West Region,0,120,N,54.4,Pass,0
AAA,2013J,146188,F,0-35,20-30%,A Level or Equivalent,West Midlands Region,0,60,Y,50,Fail,0
AAA,2013J,147756,M,0-35,60-70%,Lower Than A Level,North Region,0,120,N,68.66666667,Fail,0
AAA,2013J,147793,F,0-35,80-90%,Lower Than A Level,North Region,0,90,N,52,Withdrawn,1
AAA,2013J,148993,F,35-55,30-40%,A Level or Equivalent,North Western Region,0,60,Y,79.5,Withdrawn,1
AAA,2013J,151358,F,0-35,80-90%,A Level or Equivalent,London Region,0,150,N,50,Pass,0
AAA,2013J,155550,M,35-55,0-10%,A Level or Equivalent,London Region,0,420,N,67,Pass,0
AAA,2013J,155854,F,35-55,20-30%,A Level or Equivalent,East Midlands Region,0,60,N,79.8,Pass,0
AAA,2013J,155984,F,0-35,70-80%,Lower Than A Level,East Anglian Region,0,60,N,78.14285714,Withdrawn,1
AAA,2013J,157568,F,0-35,90-100%,A Level or Equivalent,South West Region,0,60,N,70.6,Pass,0
AAA,2013J,159954,M,35-55,40-50%,A Level or Equivalent,East Midlands Region,0,60,N,68.2,Withdrawn,1
AAA,2013J,164259,M,0-35,70-80%,A Level or Equivalent,Scotland,0,60,N,71.8,Pass,0
AAA,2013J,167906,F,35-55,40-50%,A Level or Equivalent,Yorkshire Region,0,60,N,69.4,Pass,0
AAA,2013J,168936,F,35-55,10-20,Lower Than A Level,West Midlands Region,0,60,N,66.4,Pass,0
AAA,2013J,172112,M,35-55,,HE Qualification,Ireland,0,60,N,69.6,Pass,0
AAA,2013J,172797,F,35-55,,A Level or Equivalent,Ireland,0,60,N,61.4,Pass,0
AAA,2013J,174782,M,55<=,90-100%,HE Qualification,East Anglian Region,0,60,N,80.4,Pass,0
AAA,2013J,175392,M,35-55,,HE Qualification,North Region,0,60,N,82.4,Pass,0
AAA,2013J,175932,M,35-55,70-80%,HE Qualification,North Western Region,0,60,N,78.2,Pass,0
AAA,2013J,175991,F,0-35,80-90%,A Level or Equivalent,North Western Region,0,180,N,37.6,Fail,0
AAA,2013J,180753,M,0-35,30-40%,A Level or Equivalent,South West Region,0,120,N,53.4,Pass,0
AAA,2013J,181316,F,35-55,80-90%,A Level or Equivalent,South West Region,0,120,N,76,Withdrawn,1
AAA,2013J,183096,F,0-35,60-70%,A Level or Equivalent,South West Region,0,60,N,54,Pass,0
AAA,2013J,183947,M,0-35,10-20,A Level or Equivalent,London Region,0,180,N,49,Pass,0
AAA,2013J,184271,M,35-55,80-90%,HE Qualification,South West Region,0,170,N,59.8,Pass,0
AAA,2013J,185439,M,0-35,10-20,HE Qualification,London Region,0,120,N,74,Fail,0
AAA,2013J,186149,M,35-55,30-40%,HE Qualification,Scotland,0,60,N,76,Pass,0
AAA,2013J,187100,M,35-55,50-60%,A Level or Equivalent,South East Region,0,60,N,89.2,Distinction,0
AAA,2013J,188278,M,35-55,70-80%,A Level or Equivalent,Yorkshire Region,0,120,N,71.66666667,Withdrawn,1
AAA,2013J,189879,M,0-35,90-100%,A Level or Equivalent,Scotland,0,120,N,79.4,Pass,0
AAA,2013J,192183,F,0-35,90-100%,Lower Than A Level,South West Region,0,60,N,68.4,Pass,0
AAA,2013J,195262,M,0-35,90-100%,A Level or Equivalent,London Region,0,60,N,50,Withdrawn,1
AAA,2013J,200860,M,35-55,50-60%,Lower Than A Level,London Region,0,60,N,54.4,Pass,0
AAA,2013J,202635,F,0-35,30-40%,A Level or Equivalent,Wales,0,60,N,66.66666667,Withdrawn,1
AAA,2013J,205350,M,35-55,80-90%,HE Qualification,South West Region,0,60,N,72.2,Pass,0
AAA,2013J,205719,M,0-35,40-50%,A Level or Equivalent,East Anglian Region,0,90,Y,56.66666667,Fail,0
AAA,2013J,227499,F,35-55,10-20,A Level or Equivalent,London Region,0,60,N,83.6,Distinction,0
AAA,2013J,227517,M,0-35,,HE Qualification,Ireland,0,180,N,62.6,Fail,0
AAA,2013J,228082,M,0-35,60-70%,HE Qualification,London Region,0,60,N,72.4,Pass,0
AAA,2013J,228222,M,0-35,50-60%,Lower Than A Level,East Midlands Region,0,60,N,61.8,Pass,0
AAA,2013J,229179,M,0-35,20-30%,A Level or Equivalent,West Midlands Region,0,60,N,66,Pass,0
AAA,2013J,229361,M,0-35,50-60%,A Level or Equivalent,East Midlands Region,0,60,N,78,Pass,0
AAA,2013J,231554,M,0-35,40-50%,A Level or Equivalent,London Region,0,240,N,67.75,Pass,0
AAA,2013J,235507,M,0-35,90-100%,A Level or Equivalent,Yorkshire Region,0,240,N,57.83333333,Withdrawn,1
AAA,2013J,236284,M,0-35,90-100%,Post Graduate Qualification,Scotland,0,60,N,78,Pass,0
AAA,2013J,238007,M,55<=,90-100%,HE Qualification,South Region,0,60,N,79.2,Pass,0
AAA,2013J,240712,M,0-35,80-90%,HE Qualification,London Region,0,80,N,75.8,Pass,0
AAA,2013J,240884,M,0-35,90-100%,A Level or Equivalent,South Region,0,120,N,58.4,Pass,0
AAA,2013J,241649,M,35-55,90-100%,HE Qualification,East Anglian Region,0,60,N,78.8,Pass,0
AAA,2013J,241729,F,35-55,60-70%,HE Qualification,East Midlands Region,0,60,N,58.6,Fail,0
AAA,2013J,242793,M,35-55,20-30%,HE Qualification,London Region,0,60,N,77.4,Pass,0
AAA,2013J,246834,M,35-55,90-100%,A Level or Equivalent,South West Region,0,60,N,55.6,Pass,0
AAA,2013J,248270,M,0-35,20-30%,Lower Than A Level,North Western Region,0,90,N,78.4,Pass,0
AAA,2013J,255548,M,35-55,20-30%,Lower Than A Level,Wales,0,60,N,71.4,Pass,0
AAA,2013J,256815,M,0-35,10-20,HE Qualification,North Western Region,0,120,N,76.8,Pass,0
AAA,2013J,258392,F,0-35,30-40%,Lower Than A Level,West Midlands Region,0,60,N,58.8,Pass,0
AAA,2013J,258894,F,35-55,70-80%,Lower Than A Level,East Anglian Region,0,60,N,64.8,Pass,0
AAA,2013J,260355,F,35-55,80-90%,A Level or Equivalent,London Region,0,60,N,57.5,Withdrawn,1
AAA,2013J,262011,M,35-55,20-30%,A Level or Equivalent,East Midlands Region,0,60,N,71,Pass,0
AAA,2013J,262934,F,35-55,30-40%,A Level or Equivalent,North Western Region,0,60,N,76.6,Pass,0
AAA,2013J,268073,M,35-55,10-20,A Level or Equivalent,East Anglian Region,0,90,N,74.6,Fail,0
