gender,age-band,imd-band,high-education,region,prev-attempts,studied-credits,disability,avg-score
0,1,1,2,5,-0.2819992696138434,-1.2210111041605558,0,0.39462950412779324
1,0,8,2,10,-0.2819992696138434,-0.4911365027632627,0,0.8029146854032487
1,0,10,4,4,-0.2819992696138434,-0.4911365027632627,0,0.9274762663234741
0,0,5,0,3,-0.2819992696138434,-0.4911365027632627,0,0.46244636468632905
1,0,1,0,6,-0.2819992696138434,0.9686127000313237,0,-1.5720594549761808
0,1,1,1,12,-0.2819992696138434,0.2387380986340305,0,0.6484583253411873
0,0,4,0,9,-0.2819992696138434,0.9686127000313237,0,-1.5720594549761808
1,0,0,2,6,-0.2819992696138434,-0.4911365027632627,0,0.516942056284432
1,0,4,0,0,-0.2819992696138434,0.2387380986340305,0,0.2880601515723996
0,1,2,0,8,-0.2819992696138434,-0.4911365027632627,0,0.33788478376610354
0,0,4,0,11,-0.2819992696138434,-0.4911365027632627,0,0.9710728196019566
1,1,8,0,8,-0.2819992696138434,-0.4911365027632627,0,-1.5720594549761808
1,0,5,0,9,-0.2819992696138434,0.9686127000313237,0,0.4140057498355786
1,0,7,0,12,-0.2819992696138434,0.9686127000313237,0,0.026480831901505488
0,1,5,0,0,-0.2819992696138434,0.9686127000313237,0,0.8645034670465629
1,1,3,2,3,-0.2819992696138434,0.9686127000313237,0,-1.5720594549761808
0,0,8,2,10,-0.2819992696138434,0.9686127000313237,0,-1.5720594549761808
1,1,4,1,11,-0.2819992696138434,-1.2210111041605558,0,-0.7001283894065338
1,1,10,0,2,-0.2819992696138434,-0.4911365027632627,0,0.939102013864403
0,1,4,0,1,-0.2819992696138434,-0.4911365027632627,0,0.9093110357907732
1,0,7,1,12,-0.2819992696138434,0.9686127000313237,0,0.15000439952387215
1,0,0,2,2,-0.2819992696138434,-0.4911365027632627,0,0.22993141386775648
1,0,5,0,3,-0.2819992696138434,0.9686127000313237,0,0.2032890756562472
0,0,8,0,4,-0.2819992696138434,-0.4911365027632627,0,0.7081723921238461
1,1,8,1,8,-0.2819992696138434,-1.2210111041605558,0,0.5496394712432937
0,0,2,0,12,-0.2819992696138434,-0.4911365027632627,0,-0.3920460795719251
1,1,6,2,8,-0.2819992696138434,-0.4911365027632627,0,-0.3746074582605321
1,0,6,2,5,-0.2819992696138434,-0.4911365027632627,0,-1.5720594549761808
1,1,4,2,9,-0.2819992696138434,1.6984873014286168,0,-1.5720594549761808
